Organization Name,Actively Hiring,Number of Employees,Full Description,Headquarters Location,Founded Date,Industries,Description,Last Funding Date,Last Funding Type,Last Funding Amount,Top 5 Investors,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions
Deutsche Bank,—,10001+,"Deutsche Bank is a global investment bank. Deutsche Bank is the leading German bank with strong European roots and a global network. In a fundamental transformation the bank focuses on its core strengths in a newly created Corporate Bank, a leading Private Bank, a focused investment bank and in asset management. They provide banking services to companies, governments, institutional investors, small and medium-sized businesses and private individuals. Deutsche Bank was founded in 1870 to accompany German businesses into the world. They have worked across borders ever since.","Frankfurt, Hessen, Germany","Mar 10, 1870","Banking, Finance, Financial Services","Deutsche Bank, a Frankfurt-based global investment bank, offers financial products and services to corporate and institutional clients.","Jan 18, 2023",Post-IPO Debt,"CN¥1,000,000,000","HNA Group, Capital Group, Cerberus Capital Management",$1B to $10B,—,European Union (EU)
BlocPower,—,51-100,"BlocPower is an energy technology startup that develops healthier, greener, and smarter buildings. It leverages advanced technologies, innovative electrification equipment, and structured finance to provide green heating and cooling to urban buildings. The company also connects government agencies, utilities, building owners, and smart equipment providers to identify unhealthy, energy-wasting buildings to retrofit. Its proprietary machine learning platform then determines which retrofits will produce the most energy savings at scale and uses the cloud and IoT to gather data and remotely monitor energy consumption. Since its founding, BlocPower has completed energy projects in nearly 1,000 buildings and delivered results ahead of schedule and under budget. It utilizes its proprietary software for analysis, leasing, project management, and monitoring of urban clean energy projects, and its customers are saving 20–40% on their energy bills each year. The company is backed by top investors, including Kapor Capital, Andreessen Horowitz, the American Family Insurance Institute for Corporate and Social Impact, AccelR8, the Goldman Sachs Urban Investment Group, Elemental Excelerator, CityRock Venture Partners, the Schmidt Family Foundation, and Salesforce Ventures. Donnel Baird and Morris Cox co-founded the company in Brooklyn, New York in 2014.","Brooklyn, New York, United States",2014,"Clean Energy, CleanTech, Energy,,","BlocPower is an energy technology startup that focuses on developing healthy, green, and smart cities.","Feb 28, 2023",Debt Financing,"$130,000,000","Credit Suisse, Gaingels, Andreessen Horowitz,,",Less than $1M,"Black / African American Founded,","Greater New York Area, East Coast,"
Apple,—,10001+,"Apple is a multinational corporation that designs, manufactures, and markets mobile communication and media devices, personal computers, portable digital music players, and sells a variety of related software, services, peripherals, networking solutions, and third-party digital content and applications. Apple provides many products and services, including iPhone; iPad; iPod; Mac; Apple TV; a portfolio of consumer and professional software applications; the iOS and OS X operating systems; iCloud; and accessories, service, and support offerings. It sells its products worldwide through its retail stores, online stores, direct sales force and third-party cellular network carriers, wholesalers, retailers, and value-added resellers to the consumer and also sells third-party iPhone, iPad, Mac and iPod compatible products, including application software and accessories through its online and retail stores. Introduced in 1984, the Macintosh was the first widely sold personal computer with a graphical user interface (GUI). That feature and others such as an improved floppy drive design and a low-cost hard drive that made data retrieval faster helped Apple cultivate a reputation for innovation. Apple was named as the most admired company in the United States in 2008 and in the world from 2008 to 2012 by the Fortune magazine. The company was founded by Steven Paul Jobs, Steve Wozniak, and Ronald Gerald Wayne on April 1, 1976, and is headquartered in Cupertino, California.","Cupertino, California, United States","Apr 1, 1976","Consumer Electronics, Hardware,,,","Apple is a multinational corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.","Jun 15, 2022",Private Equity,"$30,000,000","Berkshire Hathaway, Sequoia Capital,,,",$10B+,—,"San Francisco Bay Area, Silicon Valley,"
Twitch,—,1001-5000,"Twitch is a social video platform where gamers can broadcast, watch and talk about video games. Twitch’s video platform is the backbone of both live and distribution for the entire video game ecosystem. This includes game developers, publishers, media outlets, events, user-generated content, and the entire esports scene. In February 2014, Wall Street Journal ranked Twitch as the 4th largest website in terms of peak internet traffic in the U.S. fortifying the brand as an entertainment industry leader and the epicenter of social video for gamers.","San Francisco, California, United States",2007,"Gaming, Media and Entertainment,,,,","Twitch is a social video platform where gamers can broadcast, watch, and talk about video games.","Sep 30, 2013",Series C,"$20,000,000","Y Combinator, Thrive Capital, Take-Two Interactive Software,,",$1B to $10B,Black / African American Founded,"San Francisco Bay Area, West Coast,"
Credit Suisse,—,10001+,"Credit Suisse Group is a financial services company that advises clients in all aspects of finance. Credit Suisse pursues a client-focused integrated bank strategy, focusing on complex client needs and value-adding businesses, leveraging the global expertise of our three divisions and reporting segments, Private Banking, Investment Banking, and Asset Management. It is their vision to become the world's premier and most admired bank, renowned for their expertise in private banking, investment banking, and asset management, and value for their advice, innovation, and execution. Their mission is to set new standards in partnering with their clients and providing them with innovative, integrated financial solutions. As a global bank serving clients in every region of the world, cultural diversity is essential to its success. They strive to create an open, respectful workplace that encourages people to work together and with their clients to deliver superior products, services, and results and support the success and prosperity of all their stakeholders.","Zürich, Zurich, Switzerland","Jul 5, 1856","Banking, Finance, Financial Services,,",Credit Suisse Group is a financial services company that advises clients in all aspects of finance.,"Nov 24, 2022",Post-IPO Equity,"CHF1,760,000,000",Saudi National Bank,$1B to $10B,—,—
Bitwise Industries,—,251-500,"Bitwise Industries moves Fresno’s technology ecosystem forward by focusing on the key areas of education, execution, and place. Education is delivered via Geekwise Academy, an accelerated training program providing real-world technology skills to all ages. Bitwise Industries provides execution by way of its full-service, custom software development firm, Shift3 Technologies. Bitwise Industries also offers paid apprenticeships to students to help them learn tech skills, connect them to meaningful tech opportunities, and build vibrant buildings in underserved cities to house their work.","Fresno, California, United States","Jul 1, 2013","Education, Information Technology,,",Bitwise is an ecosystem that provides apprenticeships to students to learn tech skills and connects them to tech opportunities.,"Feb 28, 2023",Series C,"$80,000,000","JP Morgan Chase, Kapor Capital,,,",$1M to $10M,"Hispanic / Latine Founded, Hispanic / Latine Led,,","West Coast, Western US"
First Republic Bank,—,1001-5000,"First Republic offers banking for individuals and businesses, wealth management and more with a focus on tailored service and solutions. First Republic was founded in San Francisco in 1985 by James H. Herbert II with a single office and a small but dedicated staff. Years later, First Republic is one of the country’s largest banks, serving clients at more than 80 Preferred Banking Offices across the United States and through online banking services. First Republic prides itself on its convenient online presence, strong heritage and sustainable, client-centric approach that has provided consistent growth. First Republic Bank offers a full range of personal and business banking services including lending, deposit, foreign exchange and more, while First Republic Private Wealth Management provides trust, brokerage and wealth advisory services. Across all of its offerings, First Republic is committed to serving its stakeholders and clients with exceptional, personalized service, putting clients first in all that it does. Banking products and services are offered by First Republic Bank, Member FDIC and Equal Housing Lender. Investment Advisory services are provided by First Republic Investment Management, Inc. Trust and Fiduciary services are offered through First Republic Trust Company, a division of First Republic Bank; and First Republic Trust Company of Delaware LLC and First Republic Trust Company of Wyoming LLC, both wholly owned subsidiaries of First Republic Bank. Brokerage services are offered through First Republic Securities Company, LLC, Member FINRA/SIPC. Insurance services are provided through First Republic Securities Company, DBA Grand Eagle Insurance Services, LLC, CA Insurance License # 0I13184. Investment, Insurance and Advisory Products and Services, and Foreign Exchange Transactions, are Not FDIC Insured or Insured by Any Federal Government Agency, Not a Deposit, Not Bank Guaranteed and May Lose Value.","San Francisco, California, United States",1985,"Banking, Finance, Financial Services","First Republic offers banking for individuals and businesses, wealth management and more with a focus on tailored services and solutions.","Mar 12, 2023",Post-IPO Equity,—,"Sequoia Capital, JPMorgan Chase & Co.,,,",$500M to $1B,—,"San Francisco Bay Area, West Coast,"
Snap,Yes,5001-10000,"Snap is a privately-owned multinational camera company focusing on multinational technology and social media. Snap is behind Snapchat, a photo messaging app that allows users to take photos, record videos, add text and drawings, and send them to recipients. In 2016, it released Spectacles, video-sharing sunglasses that free the Snapchat app from smartphone cameras.","Venice, California, United States","May 1, 2011","Apps, Messaging, Mobile, Social Media",Snap operates as a privately-owned multinational camera company focusing on multinational technology and social media.,"Aug 7, 2018",Post-IPO Equity,"$250,000,000","Tencent, Alibaba Group, General Catalyst,,",$100M to $500M,—,"Greater Los Angeles Area, West Coast,"
Character.ai,—,11-50,Character.ai provides open-ended conversational applications that let users create characters and converse with them.,"Menlo Park, California, United States",2021,"Artificial Intelligence, Information Technology,",Character.ai provides open-ended conversational applications that let users create characters and converse with them.,"Mar 23, 2023",Series A,"$150,000,000","Andreessen Horowitz, Elad Gil,,,",—,—,"San Francisco Bay Area, Silicon Valley,"
Techstars,—,251-500,"Techstars is a global platform that provides investment and innovation. Through the Techstars Worldwide Entrepreneur Network, founders and their teams connect with other entrepreneurs, experts, mentors, alumni, investors, community leaders, and corporate partners who will help their companies grow. Techstars operates four divisions: Techstars Mentorship-Driven Accelerator Program supercharges success and Techstars Startup Programs inspire, educate, and connect entrepreneurs. Techstars Venture Capital Fund invests in innovative and disruptive companies. Techstars Corporate Innovation Partnerships help brands create products and services. Techstars accelerator portfolio includes more than 1,000 companies with a market cap of $8.1 billion.","Boulder, Colorado, United States","Aug 1, 2006","Consulting, Finance, Financial Services,,,,,,",Techstars is a global platform that provides investment and innovation.,"Jan 1, 2022",Pre-Seed,"$120,000","SVB Financial Group, Silicon Valley Bank,,,",$1B to $10B,"Women Founded, Women Led","Greater Denver Area, Western US"
OpenAI,—,251-500,"OpenAI is an organization that conducts research and implements machine learning. They carry out essential, ongoing research to produce safe AGI. They say that generic artificial intelligence serves the interests of people.","San Francisco, California, United States","Dec 11, 2015","Artificial Intelligence, Information Technology,,",OpenAI is an AI research and deployment company that conducts research and implements machine learning.,"Jan 23, 2023",Corporate Round,"$10,000,000,000","Sequoia Capital, Microsoft, Andreessen Horowitz,,",$50M to $100M,—,"San Francisco Bay Area, West Coast,"
Medtronic,—,10001+,"Medtronic provides healthcare technology solutions for complex and challenging conditions. They deliver treatments and therapies for the lungs, brain, dental, diabetes, ENT, heart, gastrointestinal, orthopedic, urinary, and women's health. The company's technologies and therapies treat 70 different medical conditions and include patient monitoring systems, robotic surgery, insulin pumps, cardiac devices, and more. Medtronic delivers innovative technologies that change people's lives through to its extensive knowledge, insatiable curiosity, and desire to assist everyone in need.","Minneapolis, Minnesota, United States",1949,"Biotechnology, Health Care, Health Diagnostics,,",Medtronic develops healthcare technology solutions for various medical conditions.,"Mar 23, 2023",Post-IPO Debt,"$2,000,000,000","Advantage Capital, Blackstone Life Sciences,",$10B+,—,"Greater Minneapolis-Saint Paul Area,,"
NVIDIA,—,10001+,"NVIDIA is a computing platform company, innovating at the intersection of graphics, HPC, and AI. The company specializes in the manufacture of graphics-processor technologies for workstations, desktop computers, and mobile devices. The company is a major supplier of integrated circuits used for personal-computer motherboard chipsets, graphics processing units (GPUs), and game-consoles. Founded in 1993, NVIDIA is headquartered in Santa Clara, California.","Santa Clara, California, United States",1993,"Artificial Intelligence, GPU, Hardware,,","NVIDIA is a computing platform company operating at the intersection of graphics, HPC, and AI.","Aug 9, 2022",Post-IPO Equity,"$65,000,000","Sequoia Capital, DARPA, SoftBank Vision Fund,,",$10B+,—,"San Francisco Bay Area, Silicon Valley,"
